REGION,STATUS,API_TIME,APP_TIME,DELTA_SEC,VERIFY_STATUS,REQUEST_ID,API_SERVER,APP_SERVER,HOSP_ID,PRSN_ID,CLIENT_IP,PATIENT_ID_AES
台北,NORMAL,2026-05-21 10:48:18.802,2026-05-21 10:48:23.624,4.822,OK,4000000a-0001-fb00-b63f-84710c7967bb,10.22.63.37,10.21.3.35,1234567890,Z123123123,192.168.139.110,EBD71A864A0F7E6A355827754B89259E
台北,NORMAL,2026-05-25 10:02:35.254,2026-05-25 10:02:38.011,2.757,OK,400006f7-0002-fc00-b63f-84710c7967bb,10.22.63.37,10.21.3.36,1234567890,Z123123123,192.168.139.110,EBD71A864A0F7E6A355827754B89259E
台北,ORPHAN,-,2026-05-21 15:16:35.342,-,OK,40000336-0003-ff00-b63f-84710c7967bb,-,10.21.3.36,,,,2EDEBACB75D9FA547F2018E13E695AF1
台北,ORPHAN,-,2026-05-21 15:19:53.610,-,OK,400001ce-0007-fd00-b63f-84710c7967bb,-,10.21.3.35,,,,2EDEBACB75D9FA547F2018E13E695AF1
台北,ORPHAN,-,2026-05-21 15:28:17.947,-,OK,40000092-0005-fe00-b63f-84710c7967bb,-,10.21.3.36,,,,2EDEBACB75D9FA547F2018E13E695AF1
台北,ORPHAN,-,2026-05-21 17:12:53.004,-,OK,40000216-0001-fe00-b63f-84710c7967bb,-,10.21.3.35,1234567890,Z123123123,192.168.139.110,EBD71A864A0F7E6A355827754B89259E
台北,ORPHAN,-,2026-05-21 17:14:43.624,-,OK,400000a6-0005-fe00-b63f-84710c7967bb,-,10.21.3.36,1234567890,Z123123123,192.168.139.110,EBD71A864A0F7E6A355827754B89259E
台北,ORPHAN,-,2026-05-25 11:11:37.206,-,OK,400002fc-0003-fe00-b63f-84710c7967bb,-,10.21.3.35,1234567890,Z123123123,192.168.139.79,EBD71A864A0F7E6A355827754B89259E
台中,NORMAL,2026-05-21 13:58:17.029,2026-05-21 13:58:54.583,37.554,OK,4000031c-0000-fb00-b63f-84710c7967bb,10.1.73.37,10.1.72.36,,,,B67EDA342C22CD73F88571E0E54CFE81
台中,NORMAL,2026-05-21 14:03:25.110,2026-05-21 14:03:44.332,19.222,OK,4000031e-0000-fb00-b63f-84710c7967bb,10.1.73.37,10.1.72.35,,,,B67EDA342C22CD73F88571E0E54CFE81
台中,NORMAL,2026-05-21 14:04:30.618,2026-05-21 14:04:45.260,14.642,OK,4000031f-0000-fb00-b63f-84710c7967bb,10.1.73.37,10.1.72.36,,,,B67EDA342C22CD73F88571E0E54CFE81
台中,NORMAL,2026-05-21 14:08:09.131,2026-05-21 14:08:21.800,12.669,OK,40000473-0002-fc00-b63f-84710c7967bb,10.1.73.37,10.1.72.36,,,,EBD71A864A0F7E6A355827754B89259E
台中,NORMAL,2026-05-21 14:56:37.231,2026-05-21 14:56:48.697,11.466,OK,40000316-0000-fd00-b63f-84710c7967bb,10.1.73.37,10.1.72.36,,,,EBD71A864A0F7E6A355827754B89259E
台中,NORMAL,2026-05-21 15:08:23.970,2026-05-21 15:08:45.437,21.467,OK,400002f2-0001-fc00-b63f-84710c7967bb,10.1.73.37,10.1.72.35,,,,EBD71A864A0F7E6A355827754B89259E
